Text 1,Text 2,Text 3,Category 1,Category 2,
to draw on,schöpfen,geschöptf,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
hope,die Hoffnung,die Hoffnungen,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
shadow,der Schatten,die Schatten,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
"to kindle, light",entfachen,entfachten,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
disaster,das Unheil,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
"to save, rescue",retten,gerettet,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to doubt,zweifeln,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
king,der König,die Könige,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
traveler,der/das Reisende,die Reisende,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
"thick, dense",dicht,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
"to fall, throw",stürzen,gestürzten,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
certain,gewiss,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
whether,ob,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
certainty,die Gewissheit,die Gewissheiten,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
actual,eigentlich,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
creature,das Geschöpf,die Geschopfe,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
"to trade, deal",handeln,gehandelt,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
hint,der Wink,die Winke,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
fate,das Schiksal,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to ignore,ignorieren,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
eye,das Auge,die Augen,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
evidence,der Beweis,die Beweise,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to plead,flehen,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to kidnap,entführen,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
ear,das Ohr,die Ohren,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
North,der Norden,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
East,der Osten,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
South,der Süden,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
West,der Westen,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
should,sollen,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to succeed,gelingen,gelingt,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to order (arrange),an ordnen,,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to protect,schützen,geschützen,11/29/16,Let's Play Final Fantasy [German][#1] - Die prophezeiten Krieger des Lichtes!,
to rain,regnen,geregnetr,11/30/16,Sherin,
to notice,"auffallen, bemerken","aufgefallen, bemerkt",11/30/16,Sherin,
headline,die Überschrift,die Überschriften,11/30/16,Sherin,
television,der Fernseher,der Fernsehern,11/30/16,Sherin,
program (tv),die Sendung,die Sendungen,11/30/16,Sherin,
to remove,lösen,gelöst,11/30/16,Sherin,
to dissolve,auflösen,aufgelöst,11/30/16,Sherin,
to trigger,auslösen,ausgelöst,11/30/16,Sherin,
to invite,einladen,,11/30/16,Sherin,
audience,die Zuschauer,die Zuschauer,11/30/16,Sherin,
"presently, at the moment",momentan,,11/30/16,Sherin,
meeting,die Besprechung,die Besprechungen,11/30/16,Sherin,
astounding,erstaunlich,,11/30/16,Sherin,
"to perform, to present",vortragen,vorgetragen,11/30/16,Sherin,
"performance, presentation",der Vortrag,die Vorträge,11/30/16,Sherin,
weekend,die Wochenende,die Wochenenden,11/30/16,Sherin,
"stratum, shift",die Schicht,die Schichten,11/30/16,Sherin,
idea,die Vorstellung,die Vorstellungen,11/30/16,Sherin,
whole (adj),ganz,,11/30/16,,
to give birth to,gebären,,11/30/16,,
"desperate, in despair",verzweifelt,,11/30/16,,
to glow,leuchten,geleuchtet,11/30/16,,
to crave,gieren,,11/30/16,,
to lose,verlieren,,11/30/16,,
to grieve,trauern,,11/30/16,,
cultural,kulturell,,,,
grief,die Trauer,,11/30/16,,
peak,der Gipfel,die Gipfel,12/1/16,Aphorism,
ridge,der Grat,die Grate,12/1/16,Aphorism,
hedge,der Hag,die Hage,12/1/16,Aphorism,
pressure,der Druck,die Drücke,12/1/16,Aphorism,
to be missing,fehlen,gefehlt,12/1/16,Aphorism,
rigid,starr,,12/1/16,Aphorism,
"off, loose, what's the matter",los,,12/3/16,Aphorism,
island,die Insel,die Inseln,12/3/16,Aphorism,
"quite, fairly, sizeable",ziemlich,,12/3/16,Aphorism,
"in general, [not] at all, anyway",überhaupt,,12/3/16,Aphorism,
excellent,ausgezeignet,,12/3/16,Aphorism,
culture,die Kultur,die Kulturen,12/3/16,Aphorism,
"lesson, teaching",der Unterricht,die Unterrichten,12/3/16,Aphorism,
immediately,sofort,,12/3/16,Aphorism,
"to meet, to encounter",begegnen,ist begegnet,12/3/16,Aphorism,
to wait,wartel,gewartet,12/3/16,Aphorism,
[a] while,die Weile,,12/3/16,Aphorism,
to report,berichten,berichtet,12/3/16,Aphorism,
serious,ernst,,12/3/16,Aphorism,
worthy,würdig,,12/3/16,Aphorism,
"peculiar, odd",merkwürdig,,12/3/16,Aphorism,
"to hover, float",schweben,geschwebt,12/3/16,Aphorism,
home[land],heimat,,12/3/16,Aphorism,
just as,"ebenso, genauso",,12/3/16,Aphorism,
to worry,sorgen [sich],,12/3/16,Aphorism,
to daydream,verträumen,verträumet,12/3/16,Aphorism,
cloth (noun),das Tuch,die Tücher,12/3/16,Aphorism,
to injure,verletzen,,12/3/16,Aphorism,
"hit, hit on, meet",treffen,,12/3/16,Aphorism,
wobbly,wackelig,,12/3/16,Aphorism,
nice to meet you,schön dich kenen zulernen,,12/3/16,Aphorism,
incredible,unglaublich,,12/3/16,Aphorism,
"to catch, capture",fängen,,12/3/16,Aphorism,
"indeed, in fact, even",sogar,,12/3/16,Aphorism,
to repair,reparieren,,12/3/16,Aphorism,
some[how/thing],irgend[wie/was],,12/3/16,Aphorism,
necessary,nötig,,12/3/16,Aphorism,
unnecessary,unnötig,,12/3/16,Aphorism,
to stand out,aufgefallen,,12/3/16,Aphorism,
to forget,vergessen,,12/3/16,Aphorism,
complete,völlig,,12/3/16,Aphorism,
all the same,egal,,12/3/16,Aphorism,
otherwise,sonst,,12/3/16,Aphorism,
"quantity, a lot",die Menge,die Mengen,12/3/16,Aphorism,
duty,die Pflicht,die Pflichten,12/4/16,Aphorism,
consequence,die Folge,die Folgen,12/4/16,Aphorism,
dead,tot,,12/4/16,Aphorism,
present,anwesent,,12/4/16,Aphorism,
to be responsible for something,verantworten,,12/4/16,Aphorism,
responsible,verantwortlich,,12/4/16,Aphorism,
to give somebody the creeps,gruseln,,12/4/16,Aphorism,
creepy,gruselig,,12/4/16,Aphorism,
"sudden, suddenly",plötzlich,,12/4/16,Aphorism,
"party, celebration",die Feier,die Feiern,12/4/16,Aphorism,
to deal with a task,erledigen,,12/4/16,Aphorism,
pen,der Stift,die Stifte,12/4/16,Aphorism,
middle,die Mitte,die Mitten,12/4/16,Aphorism,
circle,der Kreis,die Krieses,12/4/16,Aphorism,
to fight,kämpfen,gekämpften,12/4/16,Aphorism,
to correspond to,entsprechen,,12/4/16,Aphorism,
to hurry,eilen,,12/4/16,Aphorism,
to surprise,überraschen,,12/4/16,Aphorism,
surprise,die Überraschung,die Überraschungen,12/4/16,Aphorism,
transformation,die Verwandlung,die Verwandlungen,12/4/16,Aphorism,
to fade,verblassen,,12/5/16,Sherin,
offer,das Angebot,,12/5/16,Sherin,
safe,sicher,,12/7/16,Magician,
to hope,hoffen,,12/7/16,Magician,
to treat [somebody a certain way],behandelt,,12/7/16,Magician,
bitter,verbittert,,12/7/16,Magician,
such,solch,,12/7/16,Magician,
trust,das Vertrauen,,12/7/16,Magician,
to trust,vertrauen,,12/7/16,Magician,
stupid,blöd,,12/7/16,Magician,
coward,das Feigling,die Feiglinge,12/7/16,Magician,
"location, position, situation",die Lage,die Lagen,12/7/16,Magician,
nervous,nervös,,12/7/16,Magician,
to wait,warten,,12/7/16,Magician,
"to create, to manage to do",schaffen,,12/7/16,Magician,
to brag about,prahlen mit,,12/7/16,Magician,
mortal,sterblich,,12/7/16,Magician,
immortal,unsterblich,,12/7/16,Magician,
whereas,während,,12/7/16,Magician,
all kinds,allerlei,,12/7/16,Magician,
crooked,krumm,,12/7/16,Magician,
"to cross, pass through",durchqueren,,12/7/16,Magician,
to snow,schneien,,12/7/16,Sherin,
to read aloud,vorlesen,vorgelesen,12/7/16,Sherin,
"to cancel, to terminate",kündigen,,12/7/16,Sherin,
probable,vermutlich,,12/8/16,Magician,
"to leave, to desert",verlassen,,12/8/16,Magician,
"to dash, to rush, to race [along]",rasen,,12/8/16,Magician,
"positive, positively (really)",förmlich,,12/8/16,Magician,
"fear, anxiety",die Angst,die Ängtse,12/8/16,Magician,
back (adv),zurück,,12/8/16,Magician,
anyhow,immerhin,,12/8/16,Magician,
anxious,ängstlich,,12/8/16,Magician,
impressive,beeindruckend,,12/8/16,Magician,
happy,froh,,12/8/16,Magician,
boring,langweilig,,12/8/16,Magician,
to expect,erwarten,,12/9/16,Magician,
"ahead, in advance",voraus,,12/9/16,Magician,
dangerous,gefährlich,,12/9/16,Magician,
plant (botany),die Pflanze,,12/9/16,Magician,
capable,fähig,,12/9/16,Magician,
capability,die Fähigkeit,die Fähigkeiten,12/9/16,Magician,
opening,die Öffnung,die Öffnungen,12/9/16,Magician,
attack,der Angriff,,12/9/16,Magician,
sword,das Schwert,die Schwerter,12/9/16,Magician,
impression,der Eindruck,die Eindrücke,12/9/16,Magician,
impressive,eindrucksvoll,,12/9/16,Magician,
forest,der Wald,,12/9/16,Magician,
"to be used to, to be accustomed to",gewöhnen,,12/9/16,Magician,
outdoors,draußen,,12/10/16,Sherin,
indoors,drinnen,,12/10/16,Sherin,
to count,zählen,,12/10/16,Sherin,
obviously,offensichtlich,,12/10/16,Sherin,
to pray,beten,,12/10/16,Sherin,
topic,das Thema,,12/10/16,Sherin,
